File Name,Term
0474_LSC - Vestidors.mp4,Vestidors
0475_LSC - Aplaudiment (signants).mp4,Aplaudiment (signants)
0476_LSC -  Frase.mp4,Frase
0477_LSC  -  Aplaudiment (oïdors).mp4,Aplaudiment (oïdors)
0478_LSC  -  Potser.mp4,Potser
0479_LSC -  Quan？ (futur).mp4,Quan？ (futur)
0480_LSC -  Quan？ (passat).mp4,Quan？ (passat)
0481_LSC -  Quin？ Quina？.mp4,Quin？ Quina？
0482_LSC  - Quina hora és？.mp4,Quina hora és？
0483_LSC -  Sí.mp4,Sí
0484_LSC  -  També.mp4,També
0485_LSC -  Tenir raó.mp4,Tenir raó
0486_LSC -  Diccionari.mp4,Diccionari
0487_LSC  -  Gramàtica.mp4,Gramàtica
0488_LSC -  Paraula.mp4,Paraula
0489_LSC -  Quant？ Quanta？.mp4,Quant？ Quanta？
0490_LSC  -  Signe.mp4,Signe
0491_LSC  - Signe personal.mp4,Signe personal
0493_LSC -  Qui？.mp4,Qui？
0494_LSC -  Què？.mp4,Què？
0495_LSC -  Quant val？.mp4,Quant val？
0496_LSC -  Antigament.mp4,Antigament
0497_LSC - Adjectiu (1).mp4,Adjectiu (1)
0498_LSC  - Adjectiu (2).mp4,Adjectiu (2)
0499_LSC - Adverbi (2).mp4,Adverbi (2)
0500_LSC -  Adverbi (1).mp4,Adverbi (1)
0501_LSC - Bon any nou.mp4,Bon any nou
0502_LSC - Bon nadal.mp4,Bon nadal
0503_LSC - Bones festes.mp4,Bones festes
0504_LSC - Canal vocabulari bàsic i signoms.mp4,Canal vocabulari bàsic i signoms
0505_LSC - Canal documents sobre i en LSC.mp4,Canal documents sobre i en LSC
0506_LSC - Classificador.mp4,Classificador
0507_LSC - Configuració.mp4,Configuració
0508_LSC - Dactitologia.mp4,Dactitologia
0509_LSC - Context.mp4,Context
0510_LSC - Expressió facial.mp4,Expressió facial
0511_LSC - Espai sígnic.mp4,Espai sígnic
0512_LSC - Interrogació.mp4,Interrogació
0513_LSC - Lingüística.mp4,Lingüística
0514_LSC - Llenguatge.mp4,Llenguatge
0515_LSC - Lletra.mp4,Lletra
0516_LSC - Lloc d'articulació.mp4,Lloc d'articulació
0517_LSC - Metafòra.mp4,Metafòra
0518_LSC - Moviment.mp4,Moviment
0519_LSC - Ni 2.mp4,Ni 2
0520_LSC - Nombre.mp4,Nombre
0522_LSC - Per si de cas.mp4,Per si de cas
0523_LSC - Per exemple.mp4,Per exemple
0524_LSC - Orientació.mp4,Orientació
0525_LSC - Pregunta.mp4,Pregunta
0526_LSC - Signar.mp4,Signar
0527_LSC - Tema.mp4,Tema
0528_LSC - Rol.mp4,Rol
0529_LSC - Subjecte.mp4,Subjecte
0530_LSC - Si condicional.mp4,Si condicional
0531_LSC - Títol.mp4,Títol
0532_LSC - Verb (1).mp4,Verb (1)
0533_LSC - Visual.mp4,Visual
0534_LSC - A baix ⧸ avall.mp4,A baix ⧸ avall
0535_LSC -  A dalt ⧸ amunt.mp4,A dalt ⧸ amunt
0536_LSC - A la dreta.mp4,A la dreta
0537_LSC -  A l'esquerra.mp4,A l'esquerra
0538_LSC -  A prop.mp4,A prop
0539_LSC -  Al mig.mp4,Al mig
0540_LSC - Allà.mp4,Allà
0541_LSC - Aquí.mp4,Aquí
0542_LSC -  Per tot arreu.mp4,Per tot arreu
0543_LSC -  Dins ⧸ dintre.mp4,Dins ⧸ dintre
0544_LSC -  Enlloc.mp4,Enlloc
0545_LSC - Fora.mp4,Fora
0546_LSC - Lluny.mp4,Lluny
0547_LSC - Sobre ⧸ damunt.mp4,Sobre ⧸ damunt
0548_LSC -  Sota ⧸ a sota.mp4,Sota ⧸ a sota
0549_LSC -  Darrere (1).mp4,Darrere (1)
0550_LSC - Darrere (2).mp4,Darrere (2)
0551_LSC  -  Davant.mp4,Davant
0552_LSC - Al voltant.mp4,Al voltant
0553_LSC -  Abraçar.mp4,Abraçar
0554_LSC  - Acabar.mp4,Acabar
0555_LSC - Acció.mp4,Acció
0556_LSC - Acompanyar.mp4,Acompanyar
0557_LSC - Agradar.mp4,Agradar
0558_LSC - Aixecar-se.mp4,Aixecar-se
0559_LSC - Ajudar.mp4,Ajudar
0560_LSC - Amagar.mp4,Amagar
0561_LSC - Anar.mp4,Anar
0562_LSC - Aprendre.mp4,Aprendre
0563_LSC - Arribar.mp4,Arribar
0564_LSC - Assenyalar.mp4,Assenyalar
0565_LSC - Avisar.mp4,Avisar
0566_LSC - Baixar.mp4,Baixar
0567_LSC - Banyar-se.mp4,Banyar-se
0568_LSC - Aturar-se.mp4,Aturar-se
0569_LSC - Beure.mp4,Beure
0570_LSC -  Callar (oïdors).mp4,Callar (oïdors)
0571_LSC  -  Callar (signants).mp4,Callar (signants)
0572_LSC  -  Caminar.mp4,Caminar
0573_LSC  -  Canviar (1).mp4,Canviar (1)
0574_LSC  -  Canviar (2).mp4,Canviar (2)
0575_LSC -  Caure.mp4,Caure
0576_LSC  -  Cobrar.mp4,Cobrar
0577_LSC  -  Començar.mp4,Començar
0578_LSC  -  Comprar.mp4,Comprar
0579_LSC -  Continuar.mp4,Continuar
0580_LSC  -  Córrer.mp4,Córrer
0581_LSC  -  Cridar.mp4,Cridar
0582_LSC  -  Curar.mp4,Curar
0583_LSC  -  Desar.mp4,Desar
